species,family,name,region,part,source
Costus afer,Zingiberaceae,ginger lily; spiral ginger,Trop As,rhizome,van_wyk_culinary_2014
Crambe maritima,Brassicaceae,seakale; sea kale,Eur; W As,leaf,van_wyk_culinary_2014
Crateva religiosa,Capparaceae,garlic pear; sacred barma; temple tree,Madag,fruit,van_wyk_culinary_2014
Crateva tapia,Capparaceae,tapia fruit; payagua,Madag,fruit,van_wyk_culinary_2014
Crocus sativus,Iridaceae,saffron,Med; W As,stigma,van_wyk_culinary_2014
Cryptocarya moschata,Lauraceae,Brazilian nutmeg; (South) American nutmeg,S Am,seed,van_wyk_culinary_2014
Cryptotaenia japonica,Apiaceae,mitsuba; Japanese parsley,China,fresh leaf,van_wyk_culinary_2014
Cuminum cyminum,Apiaceae,cumin,W & C As; Ind,fruit,van_wyk_culinary_2014
Cunila origanoides,Lamiaceae,American dittany; frost flower; Maryland dittany; mountain dittany; stone mint,N Am,herb,van_wyk_culinary_2014
Cunila spicata,Lamiaceae,(American) stone mint,N Am; C Am; S Am,herb,van_wyk_culinary_2014
Curcuma amada,Zingiberaceae,mango ginger,S As,rhizome,van_wyk_culinary_2014
Curcuma aromatica,Zingiberaceae,Bombay or Indian arrowroot; wild turmeric; yellow zedoary,S As,rhizome,van_wyk_culinary_2014
Curcuma longa (=C. domestica),Zingiberaceae,turmeric,Ind,rhizome,van_wyk_culinary_2014
Curcuma mangga,Zingiberaceae,Indonesian mango ginger,Trop As,rhizome,van_wyk_culinary_2014
Curcuma zedoaria,Zingiberaceae,zedoary; Japanese turmeric,Ind,rhizome,van_wyk_culinary_2014
Cymbopogon citratus,Poaceae,lemongrass,cultigen (As?),leaf,van_wyk_culinary_2014
Cymbopogon flexuosus,Poaceae,East Indian lemongrass; Malabar lemongrass; Cochin grass,S As,leaf,van_wyk_culinary_2014
Cymbopogon iwarancusa,Poaceae,karnkusa grass; khavi grass,As,leaf,van_wyk_culinary_2014
Cymbopogon martinii,Poaceae,ginger grass; rosha grass; palmarosa grass,Ind,leaf,van_wyk_culinary_2014
Cymbopogon nardus,Poaceae,citronella; Ceylon citronella; nard grass,Trop As,leaf,van_wyk_culinary_2014
Cymbopogon schoenanthus,Poaceae,camel grass; geranium grass,N Afr; As,leaf,van_wyk_culinary_2014
Cymbopogon winterianus,Poaceae,Java citronella; Java lemongrass,As,leaf,van_wyk_culinary_2014
Cynometra cauliflora,Leguminosae,katak puru; nam nam; puki; puru,SE As,cooked fruits,van_wyk_culinary_2014
Decalepsis hamiltonii,Apocynaceae,mahali kizhangu,S As,root,van_wyk_culinary_2014
Deianira nervosa,Gentianaceae,Deianiraktaut,Trop Am,herb,van_wyk_culinary_2014
Dianthus caryophyllus,Caryophyllaceae,carnation; clove pink; gilly flower,Med,flower,van_wyk_culinary_2014
Dicypellium caryophyllatum,Lauraceae,clove bark; pinkwood bark,S Am,bark,van_wyk_culinary_2014
Dillenia indica,Dilleniaceae,chalta tree; elephant apple,Ind; C Malay,fruit pulp,van_wyk_culinary_2014
Diplotaxis tenuifolia,Brassicaceae,wild rocket,Eu,leaf,van_wyk_culinary_2014
Dipteryx odorata,Leguminosae,tonka; tonka bean,Trop Am,seed,van_wyk_culinary_2014
Dorystaechus hastata,Lamiaceae,Turkish lavender,SW Turkey,herb,van_wyk_culinary_2014
Dracocephalum moldavica,Lamiaceae,Moldavian balm; dragon’s head,E Eur; E As,leaf; herb,van_wyk_culinary_2014
Dracontomelon dao,Anacardiaceae,argus pheasant,Indomal,fruit; leaf; flower,van_wyk_culinary_2014
Drimys lanceolata,Winteraceae,pepper tree; Australian pepper tree; mountain pepper; Tasmania pepper,Tasmania; Aus,fruit,van_wyk_culinary_2014
Drimys piperita,Winteraceae,South American mountain pepper,S Am,fruit,van_wyk_culinary_2014
Drimys winteri,Winteraceae,drimys bark; winter’s bark,S Am,bark,van_wyk_culinary_2014
Echinophora tenuifolia,Apiaceae,prickly parsnip,Eur,leaf; stalk,van_wyk_culinary_2014
Elettaria cardamomum,Zingiberaceae,cardamom,Ind,fruit & seed,van_wyk_culinary_2014
Elsholtzia ciliata,Lamiaceae,common elsholtzia; Vietnamese balm,C & E As,herb,van_wyk_culinary_2014
Embelia philippinensis,Myrsinaceae,woody vine,Philipp,leaf,van_wyk_culinary_2014
Emilia javanica,Asteraceae,tassel flower,Trop Afr; Trop As,leaf; root,van_wyk_culinary_2014
Eruca sativa,Brassicaceae,rocket; arugula,Med,leaf; seed,van_wyk_culinary_2014
Eryngium foetidum,Apiaceae,culantro; eryngo; sawtooth coriander,Trop Am,leaf; root,van_wyk_culinary_2014
